ID,Node 01(Lt A),Node 02(Open Area),Node 03(Com Eng Lab)
1,-46,-53,-81
1,-52,-59,-82
1,-51,-55,-82
1,-50,-55,-81
1,-50,-55,-81
1,-52,-57,-80
1,-55,-61,-80
1,-56,-58,-80
1,-56,-58,-81
1,-52,-58,-80
1,-53,-58,-80
1,-52,-57,-80
1,-53,-57,-80
1,-53,-57,-80
1,-51,-57,-80
1,-53,-57,-79
1,-51,-57,-80
1,-52,-60,-80
1,-51,-59,-81
1,-51,-63,-80
1,-57,-63,-81
1,-58,-59,-80
1,-60,-59,-81
1,-61,-59,-80
1,-57,-61,-82
1,-59,-60,-82
1,-62,-59,-80
1,-61,-59,-81
1,-63,-59,-82
1,-62,-62,-83
1,-64,-61,-80
1,-61,-60,-80
1,-61,-57,-79
1,-59,-55,-80
1,-56,-56,-80
1,-57,-56,-79
1,-51,-57,-80
1,-50,-56,-79
1,-46,-58,-78
1,-47,-58,-78
1,-50,-55,-77
1,-47,-59,-77
1,-46,-56,-75
1,-44,-54,-77
1,-41,-54,-78
1,-39,-54,-80
1,-41,-54,-78
1,-43,-56,-80
1,-42,-56,-79
1,-44,-58,-80
1,-44,-61,-79
1,-44,-58,-78
1,-43,-55,-78
1,-43,-56,-77
1,-42,-55,-78
1,-44,-55,-78
1,-44,-55,-78
1,-44,-56,-77
1,-44,-56,-77
1,-45,-56,-77
1,-44,-56,-77
1,-45,-56,-77
1,-45,-56,-77
1,-44,-56,-77
1,-45,-56,-77
1,-44,-56,-77
1,-46,-56,-77
1,-46,-56,-77
1,-44,-56,-77
1,-43,-56,-77
1,-43,-56,-77
1,-44,-56,-77
1,-44,-56,-79
1,-45,-58,-78
1,-44,-56,-79
1,-44,-56,-78
1,-44,-57,-78
1,-44,-58,-77
1,-44,-57,-76
1,-45,-56,-77
1,-45,-57,-77
1,-44,-56,-77
1,-51,-56,-76
1,-47,-59,-76
1,-53,-57,-76
1,-50,-58,-76
1,-48,-57,-76
1,-54,-58,-76
1,-48,-59,-77
1,-49,-61,-75
1,-48,-58,-75
1,-44,-60,-76
1,-44,-58,-76
1,-42,-57,-76
1,-49,-58,-76
1,-44,-59,-76
1,-47,-60,-76
1,-45,-59,-77
1,-45,-59,-76
1,-44,-60,-76
1,-44,-60,-76
1,-45,-59,-76
1,-44,-59,-76
1,-43,-60,-76
1,-43,-60,-76
1,-41,-59,-77
1,-41,-58,-75
1,-43,-59,-76
1,-41,-58,-76
1,-41,-59,-77
1,-42,-58,-77
1,-44,-59,-77
1,-42,-59,-77
1,-43,-58,-76
1,-40,-58,-75
1,-42,-58,-76
1,-43,-58,-76
1,-43,-59,-77
1,-46,-58,-76
1,-46,-59,-76
1,-49,-59,-77
1,-49,-58,-76
1,-57,-59,-76
1,-56,-58,-77
1,-58,-60,-77
1,-51,-59,-76
1,-55,-58,-76
1,-50,-59,-76
1,-46,-58,-76
1,-47,-58,-77
1,-41,-58,-78
1,-42,-58,-76
1,-43,-58,-76
1,-43,-57,-77
1,-44,-59,-77
1,-42,-60,-76
1,-43,-59,-76
1,-43,-58,-77
1,-42,-58,-76
1,-43,-58,-76
1,-41,-58,-76
1,-42,-57,-77
1,-43,-57,-77
1,-42,-57,-76
1,-42,-57,-77
1,-42,-58,-77
1,-43,-58,-76
1,-41,-58,-77
1,-42,-58,-76
1,-40,-58,-77
1,-40,-58,-76
1,-40,-58,-77
1,-39,-58,-76
1,-40,-58,-75
1,-40,-58,-75
1,-40,-58,-75
1,-41,-58,-76
1,-40,-58,-75
1,-40,-59,-75
1,-41,-59,-76
1,-41,-59,-75
1,-40,-59,-76
1,-39,-59,-77
1,-39,-59,-76
1,-41,-59,-77
1,-46,-60,-76
1,-51,-59,-77
1,-50,-59,-77
1,-51,-59,-76
1,-49,-59,-76
1,-49,-59,-76
1,-50,-59,-76
1,-50,-58,-76
1,-44,-59,-76
1,-45,-59,-76
1,-41,-59,-75
1,-41,-59,-76
1,-44,-58,-75
1,-42,-58,-75
1,-42,-58,-75
1,-43,-58,-75
1,-43,-58,-76
1,-41,-58,-74
1,-42,-57,-74
1,-43,-58,-74
1,-40,-58,-75
1,-42,-58,-74
1,-41,-58,-74
